accession	name_in_vcf	include_in_map	include_in_network	include_in_admixture	admixture_expanded	big_admix?	selection_scan_pop	admix_pop	network_color	population	latitude	longitude	ploidy_man_curated	nquire_ploidy	proportion_het%_NT1fin	Nb_S_groups_DB2022_man_curated	Species_fin	source	source_type	experimentaly_validated	snps_(2n)	collector,_comments	admix	twisst_Siberia	selection_test	est-sfs	demographic_modeling_pops							
ERR3514880	ERR3514880_4n	yes	yes	no	yes	yes		ERR3514878		Austria_4n	48.07955	16.26718	4	4	0,66	1	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514883	ERR3514883	yes	yes	no	yes	yes		ERR3514883		Austria_2n	47.90154	15.96864	2	2	0,29	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514884	ERR3514884	yes	yes	no	yes	yes		ERR3514883		Austria_2n	47.90154	15.96864	2	2	0,26	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514885	ERR3514885	yes	yes	no	yes	yes		ERR3514885		Austria_2n	47.92251	15.98176	2	2	0,32	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514886	ERR3514886	yes	yes	no	yes	yes		ERR3514885		Austria_2n	47.92251	15.98176	2	2	0,26	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514887	ERR3514887_4n	yes	yes	no	yes	yes		ERR3514887		Austria_4n	48.23901	15.34931	4	4	0,72	3	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514888	ERR3514888_4n	yes	yes	no	yes	yes		ERR3514887		Austria_4n	48.23901	15.34931	4	4	0,64	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514889	ERR3514889_4n	yes	yes	no	yes	yes		ERR3514887		Austria_4n	48.23901	15.34931	4	4	0,68	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514892	ERR3514892_4n	yes	yes	no	yes	yes		ERR3514893		Austria_4n	48.27428	15.39301	4	4	0,60	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514893	ERR3514893_4n	yes	yes	no	yes	yes		ERR3514893		Austria_4n	48.27428	15.39301	4	4	0,63	3	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514895	ERR3514895_4n	yes	yes	no	yes	yes		ERR3514895		Austria_4n	48.34031	15.40085	4	4	0,70	4	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514896	ERR3514896_4n	yes	yes	no	yes	yes		ERR3514895		Austria_4n	48.34031	15.40085	4	4	0,69	4	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514897	ERR3514897	yes	yes	no	yes	yes		ERR3514898		Austria_2n	47.97978	16.16374	2	2	0,27	1	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514898	ERR3514898	yes	yes	no	yes	yes		ERR3514898		Austria_2n	47.97978	16.16374	2	2	0,34	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514899	ERR3514899	yes	yes	no	yes	yes		ERR3514898		Austria_2n	47.97978	16.16374	2	2	0,34	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR4235088	ERR4235088	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,37	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR4235089	ERR4235089	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,31	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR4235090	ERR4235090	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,35	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR4235091	ERR4235091	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,37	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR4235092	ERR4235092	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,32	1	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR4235093	ERR4235093	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,37	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR4235094	ERR4235094	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,36	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR4235095	ERR4235095	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,34	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR4235096	ERR4235096	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,32	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR4235097	ERR4235097	yes	yes	no	yes	yes		ERR4235091		Germany_2n	49.65	11.45	2	2	0,34	1	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
IRK-ID2040	IRK-ID2040	yes	yes	yes	yes	yes	CESiberia_2n	IRK-ID2040	orange?	CESiberia_2n	51.92833	102.42666	2	2	0,43	2	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
IRK-ID27652	IRK-ID27652	yes	yes	yes	yes	yes	CESiberia_2n	IRK-ID27652	orange?	CESiberia_2n	58.7	103.0	2	2	0,33	1	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
IRK-ID51710	2:IRK-ID51710	yes	yes	no	no	yes		2:IRK-ID51710	selfer	selfer	52	102	2	4	0,00	1	A._lyrata	Irkutsk_herbarium	herbarium															
IRK-ID51711	2:IRK-ID51711	yes	yes	yes	yes	yes	CESiberia_2n	2:IRK-ID51711	orange?	CESiberia_2n	51.90944	102.41111	unsure	4	0,28	2	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
IRK-ID51712	2:IRK-ID51712	yes	yes	yes	yes	yes	CESiberia_2n	2:IRK-ID51712	orange?	CESiberia_2n	51.93250	102.42278	unsure	3	0,38	2	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
IRK-ID61141	IRK-ID61141	yes	yes	yes	yes	yes	CESiberia_2n	IRK-ID61141	orange?	CESiberia_2n	51.94167	102.42056	2	2	0,42	2	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
IRK-STAN	IRK-STAN	yes	yes	yes	yes	yes	CESiberia_2n	IRK-STAN	orange?	CESiberia_2n	55.5	112.7	2	2	0,43	1	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
IRKU048360	IRKU048360	yes	yes	yes	yes	yes	CESiberia_2n	IRKU048360	orange?	CESiberia_2n	51.91752	102.721848	unsure	2	0,51	2	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
IRKU049793	IRKU049793_4n	yes	yes	yes	yes	yes	CESiberia_4n	IRKU049793_4n	orange?	CESiberia_4n	57.5	116.55	4	4	0,80	2	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
IRKU049797	IRKU049797_4n	yes	yes	yes	yes	yes	CESiberia_4n	IRKU049797_4n	orange?	CESiberia_4n	51.94	102.7	4	4	0,48	3	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
IRKU049798	IRKU049798	yes	yes	yes	yes	yes	CESiberia_2n	IRKU049798	orange?	CESiberia_2n	51.94	102.7	2	2	0,43	2	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
IRKU049802	IRKU049802	yes	yes	yes	yes	yes		IRKU049802	yellow	exclude	72.5	105.17	unsure	2	0,42	3	A._lyrata	Irkutsk_herbarium	herbarium															
IRKU049803	IRKU049803_4n	yes	yes	yes	yes	yes	CESiberia_4n	IRKU049803_4n	yellow	CESiberia_4n	75.375	105.366666	4	4	0,61	4	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
IRKU049804	IRKU049804	yes	yes	yes	yes	yes	CESiberia_2n	IRKU049804	yellow	CESiberia_2n	72.5	105.17	2	2	0,48	2	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
IRKU084814	IRKU084814	yes	yes	yes	yes	yes	CESiberia_2n	IRKU084814	orange?	CESiberia_2n	51.970047	102.448011	2	2	0,41	2	A._lyrata	Irkutsk_herbarium	herbarium					CESiberia_2n			CED							
MN_47	MN_47	yes	yes	no	no	yes		MN_47	selfer	NA_2n	43	-84	2	4	0,14	1	A._lyrata		seeds															
MW0079456	MW0079456	yes	yes	no	no	yes		MW0079456	selfer	selfer	69.631288	168.432929	2	3	0,05	1	A._lyrata	Moscow_University_Herbarium	published		cohort2	Seregin_A_(Ed)._2018._Moscow_University_Herbarium_(MW)._Version_1.14._Lomonosov_Moscow_State_University._Occurrence_Dataset_https://doi.org/10.15468/cpnhcc_accessed_via_GBIF.org_on_2018-02-12.	y											
MW0079460_2	MW0079460_2	no	yes	no	no				kam	kamchatica	64.789932	166.465907	4	2	0,74	2	A._kamchatica	Kolesnikova_et_al._2023	published															
MW0079466	MW0079466	yes	yes	no	no	yes		MW0079466	freak	freak	69.474793	166.586866	2	2	0,27	1	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2	all_vauchers_are_online,_for_example_https://plant.depo.msu.ru/open/public/item/MW0079552	y		dip									
MW0079467_1	MW0079467_1	yes	yes	yes	yes	yes	CESiberia_2n	MW0079467_1	orange	CESiberia_2n	69.474793	166.61	2	3	0,37	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0079469	MW0079469	no	yes	no	no				kam	kamchatica	64.682017	170.419199	4	2	0,55	3	A.kamchatica_x_lyrata?	Kolesnikova_et_al._2023	published															
MW0079469_2	MW0079469_2	no	yes	no	no				kam	kamchatica	64.682017	170.419199	4	2	0,71	2	A._kamchatica	Kolesnikova_et_al._2023	published															
MW0079472	MW0079472_4n	yes	no	no	no				exclude	exclude	63.13195	144.676274	unsure	4	0,36	1	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		tetra									
MW0079473_1	MW0079473_1	yes	yes	yes	yes	yes	CESiberia_2n	MW0079473_1	orange	CESiberia_2n	63.13195	144.676274	2	4	0,42	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0079478	MW0079478	yes	yes	yes	yes	yes		MW0079478	green_zeysky	Zeysky_2n	54.012285	127.423313	2	2	0,31	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079478_3	MW0079478_3	yes	yes	yes	yes	yes		MW0079478	green_zeysky	Zeysky_2n	54.012285	127.423313	2	3	0,35	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079479	MW0079479	yes	yes	yes	yes	yes		MW0079479	green_zeysky	Zeysky_2n	53.910706	127.414687	2	2	0,33	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079480	MW0079480	yes	yes	yes	yes	yes		MW0079480	green_zeysky	Zeysky_2n	53.880491	127.413271	2	2	0,33	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079480_3	MW0079480_3	yes	yes	yes	yes	yes		MW0079480	green_zeysky	Zeysky_2n	53.880491	127.413271	2	2	0,43	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079481	MW0079481	yes	yes	yes	yes	yes		MW0079481	green_zeysky	Zeysky_2n	54.328725	126.814736	2	2	0,30	1	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079481_2	MW0079481_2	yes	yes	yes	yes	yes		MW0079481	green_zeysky	Zeysky_2n	54.328725	126.814736	2	2	0,40	1	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079482	MW0079482	yes	yes	yes	yes	yes		MW0079482	green_zeysky	Zeysky_2n	54.006938	127.412327	2	2	0,32	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079482_2	MW0079482_2	yes	yes	yes	yes	yes		MW0079482	green_zeysky	Zeysky_2n	54.006938	127.412327	2	2	0,40	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079483	MW0079483	yes	yes	yes	yes	yes		MW0079483	green_zeysky	Zeysky_2n	53.983663	127.465556	2	2	0,34	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079484_2	MW0079484_2	yes	yes	yes	yes	yes		MW0079484_2	green_zeysky	Zeysky_2n	54.195031	127.12561	2	2	0,46	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079485	MW0079485	yes	yes	yes	yes	yes		MW0079485	green_zeysky	Zeysky_2n	54.101409	127.268292	2	2	0,31	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079485_2	MW0079485_2	yes	yes	yes	yes	yes		MW0079485	green_zeysky	Zeysky_2n	54.101409	127.268292	2	2	0,39	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079486_2	MW0079486_2	yes	no	no	no				exclude	exclude	70.686846	127.354681	unsure	4	0,26	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079486_3	MW0079486_3	yes	yes	yes	yes	yes	CESiberia_2n	MW0079486_3	orange	CESiberia_2n	70.686846	127.354681	2	3	0,35	1	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0079491	MW0079491	yes	yes	yes	yes	yes	CESiberia_2n	MW0079491	orange	CESiberia_2n	56.816615	124.878522	2	2	0,27	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_2n	dip		CED							
MW0079491_2	MW0079491_2	yes	yes	yes	yes	yes	CESiberia_2n	MW0079491	orange	CESiberia_2n	56.816615	124.878522	2	3	0,34	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0079493_1	MW0079493_1	yes	yes	yes	yes	yes	CESiberia_2n	MW0079493_1	orange	CESiberia_2n	63.3508974	125.719986	2	3	0,27	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0079494_2	MW0079494_2	yes	yes	yes	yes	yes	CESiberia_2n	MW0079494_2	orange	CESiberia_2n	72.3956019	126.6601753	2	3	0,33	1	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0079496	MW0079496	yes	yes	yes	yes	yes	CESiberia_2n	MW0079496	orange	CESiberia_2n	63.264569	143.230643	2	2	0,28	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_2n	dip		CED							
MW0079497	MW0079497	yes	yes	yes	yes	yes		MW0079497	paleblue	IS_2n	72.96641	78.933523	2	2	0,29	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079497_4	MW0079497_4	yes	yes	yes	yes	yes		MW0079497	paleblue	IS_2n	72.96641	78.933523	2	3	0,33	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079500	MW0079500	yes	yes	yes	yes	yes		MW0079500	paleblue	IS_2n	72.9040995	78.9319611	2	2	0,28	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079500_2	MW0079500_2	yes	yes	yes	yes	yes		MW0079500	paleblue	IS_2n	72.9040995	78.9319611	2	4	0,26	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079507	MW0079507_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079507_4n	yellow	CESiberia_4n	74.44556	99.6814	4	4	0,53	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079509	MW0079509	yes	yes	yes	yes	yes	SU_2n	MW0079509	purple	SU_2n	59.5167321	59.1124535	2	2	0,27	1	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079510_1	MW0079510_1	yes	yes	yes	yes	yes	SU_2n	MW0079509	purple	SU_2n	59.5167321	59.1124535	2	3	0,34	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079537	MW0079537	yes	yes	yes	yes	yes	CESiberia_2n	MW0079537	orange	CESiberia_2n	70.820742	129.638221	2	2	0,30	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_2n	dip		CED							
MW0079537_3	MW0079537_3	yes	yes	yes	yes	yes	CESiberia_2n	MW0079537	orange	CESiberia_2n	70.820742	129.638221	2	3	0,36	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0079538	MW0079538	yes	yes	yes	yes	yes	CESiberia_2n	MW0079538	orange	CESiberia_2n	72.0034007	129.1133881	2	2	0,28	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_2n	dip		CED							
MW0079543_2	MW0079543_2	yes	yes	yes	yes	yes	CESiberia_2n	MW0079543_2	orange	CESiberia_2n	56.761912	124.749712	2	4	0,30	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0079544	MW0079544_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079544_4n	yellow	CESiberia_4n	72.4044258	126.8563843	4	4	0,48	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079545	MW0079545	yes	yes	yes	yes	yes	CESiberia_2n	MW0079545	orange	CESiberia_2n	72.5472921	127.2223663	2	2	0,31	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_2n	dip		CED							
MW0079546	MW0079546_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079546	yellow	CESiberia_4n	71.3093764	124.1757202	4	4	0,44	4	A._lyrata	Moscow_University_Herbarium	published		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079546_2	MW0079546_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079546	yellow	CESiberia_4n	71.3093764	124.1757202	4	4	0,57	3	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079552	MW0079552_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079552	yellow	CESiberia_4n	74.44204	98.81792	4	4	0,51	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079552_2	MW0079552_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079552	yellow	CESiberia_4n	74.44204	98.81792	4	4	0,56	3	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079552_3	MW0079552_3_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079552	yellow	CESiberia_4n	74.44204	98.81792	4	4	0,58	4	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079552_7	MW0079552_7_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079552	yellow	CESiberia_4n	74.44204	98.81792	4	4	0,50	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079552_8	MW0079552_8_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079552	yellow	CESiberia_4n	74.44204	98.81792	4	4	0,51	4	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079553	MW0079553	yes	yes	yes	yes	yes		MW0079553	paleblue	IS_2n	72.96641	78.933523	2	2	0,29	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip									
MW0079553_5	MW0079553_5	yes	yes	yes	yes	yes		MW0079553	paleblue	IS_2n	72.96641	78.933523	2	2	0,36	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079553_7	MW0079553_7	yes	yes	yes	yes	yes		MW0079553	paleblue	IS_2n	72.96641	78.933523	2	3	0,33	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079558_2	MW0079558_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079558_2_4n	yellow	CESiberia_4n	74.352355	104.723114	4	4	0,58	4	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079559	MW0079559	yes	yes	yes	yes	yes	LE_2n	MW0079559	blue	LE_2n	71.445855	89.213257	2	2	0,28	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_2n	dip		PUD							
MW0079560	MW0079560	yes	yes	yes	yes	yes	LE_2n	MW0079560	purple	SU_2n	71.445855	89.213257	2	2	0,29	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip		PUD							
MW0079561_8	MW0079561_8	yes	yes	yes	yes	yes	LE_2n	MW0079561_8	purple	SU_2n	71.431966	89.220123	2	2	0,36	2	A._lyrata	Moscow_University_Herbarium	herbarium								PUD							
